section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415934236234,0.243902,-0.182927,1.341463,-0.121643,-0.991394,-0.034119,13.768185694541529,-1.852336864469919
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415939315234,0.731707,-0.365854,1.036585,-0.116577,-0.985901,-0.031677,13.395855340329973,-1.6863914886448015
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415944394234,0.914634,-0.670732,1.036585,-0.120056,-0.986755,-0.031189,13.820061294674048,-1.7779362633569349
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415949473234,0.97561,-0.792683,0.853659,-0.121765,-0.993408,-0.032837,14.13789214298788,-1.9925675362617312
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415954552234,1.341463,-1.036585,0.487805,-0.118835,-0.986694,-0.036682,13.780331082613714,-2.163886069602654
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415959631234,1.52439,-1.219512,0.243902,-0.113037,-0.982483,-0.036316,13.35972858761096,-2.0659493824557273
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415964710234,1.402439,-1.036585,0.243902,-0.115417,-0.983643,-0.040588,13.632863391718047,-2.304966389279457
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415969789234,1.097561,-0.914634,0.365854,-0.114258,-0.980591,-0.040894,13.663067280549654,-2.6108307631694743
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415974868234,0.914634,-0.97561,0.243902,-0.118713,-0.97998,-0.043823,14.08577310510259,-2.516115367973214
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843415979947234,0.731707,-0.792683,-0.060976,-0.121948,-0.974731,-0.04187,14.279706863651313,-2.23017834076893
