,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,timestamp [ns]_for_grouping,ref_center_x,ref_center_y,ref_coordinates,tag
92,1148,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5747.646,672.709,535.51,1.0,14.0,,1634117194598359265,690,548,"(690, 548)",m l hand
93,1155,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5783.665,655.583,531.928,1.0,14.0,,1634117194634378265,673,544,"(673, 544)",f r hand
94,1161,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5811.672,657.313,528.669,1.0,14.0,,1634117194662385265,674,541,"(674, 541)",f r hand
95,1168,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5847.974,656.527,534.218,1.0,14.0,,1634117194698687265,674,546,"(674, 546)",m l hand
96,1175,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5883.745,659.018,531.994,1.0,14.0,,1634117194734458265,676,544,"(676, 544)",m l hand
97,1181,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5911.646,661.284,524.011,1.0,14.0,,1634117194762359265,678,536,"(678, 536)",m l hand
98,1189,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5951.651,660.119,522.208,1.0,14.0,,1634117194802364265,678,534,"(678, 534)",f r hand
99,1195,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5983.699,660.548,525.229,1.0,14.0,,1634117194834412265,680,537,"(680, 537)",m l hand
100,1201,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6011.654,661.725,526.842,1.0,14.0,,1634117194862367265,681,540,"(681, 540)",m l hand
101,1208,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6047.641,665.755,528.772,1.0,14.0,,1634117194898354265,686,542,"(686, 542)",m l hand
102,1215,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,6083.713,666.852,530.367,1.0,14.0,,1634117194934426265,687,544,"(687, 544)",m l hand
