index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
782,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501142384253,410.33,646.422,1.0,,2.0,-9.706227048285324,-6.031830887669953,3920.046,2119,1313
788,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501174522253,491.9,752.518,1.0,,2.0,-3.586873900010484,-14.046681845083809,3952.184,2262,1835
795,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501210412253,529.397,741.394,1.0,,2.0,-0.698959894416492,-13.217733620930897,3988.074,2311,1401
803,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501250427253,493.81,640.591,1.0,,2.0,-3.382541514865968,-5.619661650531675,4028.089,2297,1374
809,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501278424253,434.293,606.519,1.0,,2.0,-7.870610470590419,-3.0432970055203974,4056.086,2178,1406
817,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501318429253,345.638,581.218,1.0,,2.0,-14.556084700407016,-1.129455778296553,4096.091,1674,1676
822,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501342391253,321.255,595.003,1.0,,2.0,-16.401899228379374,-2.1506502260161127,4120.053,2018,1179
830,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501382416253,341.988,574.861,1.0,14.0,2.0,-14.83056253539122,-0.6547207949052657,4160.078,2052,1166
835,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501410395253,344.383,575.816,1.0,14.0,2.0,-14.649927245043935,-0.7262223353678029,4188.057,2044,1179
843,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501450387253,351.58,582.011,1.0,14.0,,-14.107676187954176,-1.189707051135853,4228.049,2062,1180
850,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501482382253,352.6,590.08,1.0,14.0,,-14.032968144527176,-1.7924003750527784,4260.044,2081,1164
857,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501518766253,354.78,555.278,1.0,14.0,,-13.86615057398428,0.806745709232377,4296.428,2081,1110
863,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501550476253,356.432,558.275,1.0,14.0,,-13.740866795014131,0.5828391138905935,4328.138,2068,1131
870,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501582410253,352.235,560.13,1.0,14.0,,-14.05741188378982,0.4442033855281893,4360.072,2071,1119
876,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501614407253,343.552,553.246,1.0,14.0,,-14.714178602804862,0.9578170570179926,4392.069,2055,1107
882,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501642394253,345.817,545.624,1.0,14.0,,-14.545620637679962,1.5268747742227191,4420.056,1997,1225
888,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501674400253,348.631,556.13,1.0,14.0,,-14.330157840293028,0.7428432240155877,4452.062,2047,1124
895,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501710408253,358.023,562.142,1.0,14.0,,-13.620277083894743,0.293877281709928,4488.07,2030,1204
902,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501746340253,351.025,572.485,1.0,14.0,,-14.148306459975778,-0.4783530010228253,4524.002,2367,773
909,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501778458253,354.684,537.249,1.0,,,-13.87981421659046,2.15369901060864,4556.12,2031,1099
915,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501810361253,351.59,543.237,1.0,,,-14.110737371876104,1.70587433316616,4588.023,1948,932
922,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501846354253,329.043,582.973,1.0,15.0,,-15.809281064039542,-1.2572730836668484,4624.016,1974,1164
930,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501886360253,328.327,566.689,1.0,15.0,,-15.861549696686025,-0.044396408137085,4664.022,1964,1135
937,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501918388253,332.182,563.722,1.0,15.0,,-15.570721189524546,0.1764517800761372,4696.05,2107,1020
943,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501950414253,336.757,563.208,1.0,15.0,,-15.225405545261998,0.2146829075290547,4728.076,1984,1114
949,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501978352253,351.88,560.778,1.0,15.0,,-14.084088182539665,0.3958111496860013,4756.014,1974,1195
955,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502010387253,350.905,569.549,1.0,15.0,,-14.157207147118283,-0.2591341507366588,4788.049,2756,463
962,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502046367253,358.07,579.431,1.0,15.0,,-13.617373098323895,-0.9980159829445616,4824.029,2016,1149
969,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502078363253,358.001,568.672,1.0,15.0,,-13.62160526457732,-0.1940358289529935,4856.025,2018,1127
977,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502118400253,351.923,568.733,1.0,15.0,,-14.080388511373163,-0.1982620414480453,4896.062,2089,948
982,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502146367253,351.626,565.17,1.0,15.0,,-14.102896336601374,0.0678760712649652,4924.029,2012,1127
989,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464502178382253,350.81,563.036,1.0,15.0,,-14.164619037722872,0.2272233238343807,4956.044,2011,1132
