section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138338150772,-0.304878,-5.243903,-0.914634,-0.094482,-0.919739,-0.326233,12.805543018921583,-19.568117238584165,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138343202772,-0.548781,-5.121951,-0.548781,-0.094788,-0.924866,-0.324646,12.513244478301601,-19.329290859056528,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138348254772,-0.487805,-4.939024,-0.121951,-0.092957,-0.929504,-0.322754,12.33279381965076,-19.03754030354966,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138353306772,-0.853659,-4.817073,-0.060976,-0.095154,-0.927979,-0.324951,12.551481293697577,-19.32247685160425,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138358358772,-0.97561,-4.634146,0.0,-0.094971,-0.924011,-0.325562,12.50622625897526,-19.641059862872112,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138363410772,-0.853659,-4.573171,-0.060976,-0.094543,-0.929443,-0.323853,12.49925642469222,-19.323201290759584,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138368462772,-0.731707,-4.45122,-0.182927,-0.092896,-0.928772,-0.322998,12.305208726898968,-19.037192545223604,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138373514772,-0.548781,-4.329268,-0.426829,-0.092651,-0.928955,-0.321716,12.603118588978305,-19.279070139450567,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138378566772,-0.548781,-4.268293,-0.609756,-0.099731,-0.929077,-0.319641,12.795023335538303,-18.99378398399233,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138383618772,-0.487805,-4.390244,-0.731707,-0.098328,-0.928467,-0.321838,12.612850432374586,-19.279574165858122,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138388670772,-0.243902,-4.390244,-0.609756,-0.093323,-0.930298,-0.321106,12.388451302693568,-19.002381003813696,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138393722772,-0.121951,-4.390244,-0.609756,-0.09668,-0.92865,-0.320435,12.822869055053218,-19.065392053904816,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138398774772,-0.243902,-4.390244,-0.731707,-0.096619,-0.93042,-0.320679,12.405763915809644,-18.970146094413394,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138403826772,-0.060976,-4.329268,-0.853659,-0.096741,-0.928711,-0.317078,12.758837434401073,-18.781882274586962,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138408878772,0.060976,-4.329268,-0.670732,-0.098755,-0.929199,-0.317993,12.714502341641662,-19.095338323804498,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138413930772,-0.121951,-4.634146,-0.670732,-0.099182,-0.929138,-0.31897,12.82456631892228,-18.78461729679077,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138418982772,-0.121951,-4.817073,-0.914634,-0.102234,-0.932617,-0.318726,13.114819927741479,-19.028085080288946,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138424034772,-0.060976,-5.060976,-1.097561,-0.099365,-0.928894,-0.317139,12.760002316202048,-18.83575666549652,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138429086772,-0.060976,-5.182927,-1.036585,-0.098938,-0.926636,-0.319153,12.772102637980908,-19.15233025648712,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138434138772,-0.121951,-5.426829,-1.158537,-0.099609,-0.928406,-0.316772,12.802012818155276,-18.8312045320111,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138439190772,-0.121951,-5.487805,-1.158537,-0.097961,-0.92627,-0.317688,12.56868960211267,-19.093039577339397,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138444242772,-0.121951,-5.609756,-1.158537,-0.099365,-0.927612,-0.316284,12.797331806380555,-18.820152099378788,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138449294772,-0.0,-5.792683,-1.158537,-0.096863,-0.929321,-0.317749,12.408617823974538,-18.95105400246382,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138454346772,-0.060976,-5.97561,-1.158537,-0.096619,-0.92749,-0.316833,12.790989882790626,-18.793333117066084,,,,,
