index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
615,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3075.713,453.184,382.562,1.0,13.0,,412,457
621,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3107.698,453.561,394.028,1.0,13.0,,407,459
627,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3139.695,457.432,399.692,1.0,13.0,,405,463
635,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3179.848,453.633,393.034,1.0,13.0,,396,461
642,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3211.715,457.312,378.286,1.0,13.0,,394,465
649,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3247.722,470.583,372.88,1.0,13.0,,404,481
654,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3271.734,472.216,358.866,1.0,13.0,,402,484
662,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3311.722,476.892,372.889,1.0,13.0,,403,491
668,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3343.748,469.261,394.063,1.0,13.0,,392,485
675,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3379.705,458.464,424.229,1.0,13.0,,379,475
682,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3411.74,485.67,405.926,1.0,14.0,,405,503
687,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3439.706,485.98,401.537,1.0,14.0,,402,504
695,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3479.696,465.511,413.618,1.0,14.0,,380,484
702,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3511.746,465.125,407.589,1.0,14.0,,376,483
709,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3547.709,484.043,389.66,1.0,14.0,,394,502
715,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3579.728,476.835,390.022,1.0,14.0,,386,494
722,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3611.732,470.79,389.264,1.0,14.0,,378,490
729,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3647.723,474.389,402.229,1.0,14.0,,381,493
735,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3679.833,478.835,419.083,1.0,14.0,,386,499
742,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3711.766,480.019,423.331,1.0,14.0,,387,501
747,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3739.764,467.462,423.479,1.0,14.0,,375,488
755,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3779.806,430.496,419.386,1.0,,,342,449
762,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3811.768,421.233,419.084,1.0,15.0,,336,439
768,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3843.757,434.662,418.196,1.0,15.0,,539,492
776,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3883.673,419.029,409.585,1.0,15.0,,340,434
782,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3915.662,391.744,409.524,1.0,,,320,406
788,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3943.647,341.474,461.685,1.0,,,273,353
794,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3975.934,334.597,469.938,1.0,,,271,345
802,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4015.761,364.734,477.198,1.0,16.0,,307,373
809,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4047.731,347.914,476.482,1.0,16.0,,304,353
815,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4079.847,365.298,475.725,1.0,16.0,,315,369
822,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4115.69,359.947,475.229,1.0,16.0,,313,362
829,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4147.768,342.84,491.136,1.0,16.0,,303,342
835,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4179.736,331.983,480.373,1.0,16.0,,970,700
842,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4215.743,333.903,492.545,1.0,16.0,,958,665
848,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4243.718,327.48,506.232,1.0,16.0,,974,697
854,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4275.712,328.207,506.856,1.0,16.0,,743,243
861,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4307.712,329.534,505.56,1.0,16.0,,751,243
867,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4339.777,330.199,516.142,1.0,16.0,,755,241
875,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4379.683,338.805,502.068,1.0,16.0,,319,337
882,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4415.725,347.384,504.05,1.0,16.0,,330,348
888,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4443.734,347.183,501.635,1.0,16.0,,332,349
895,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4479.934,338.976,500.463,1.0,16.0,,327,341
902,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4515.769,325.251,503.763,1.0,16.0,,317,325
908,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4543.864,329.115,507.07,1.0,16.0,,324,327
914,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4575.849,331.651,502.997,1.0,16.0,,330,328
922,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4615.855,328.37,518.274,1.0,16.0,,328,322
928,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4643.772,332.368,526.634,1.0,16.0,,334,325
935,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4679.859,332.799,521.743,1.0,16.0,,336,325
941,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4711.691,330.724,522.942,1.0,16.0,,334,322
948,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4743.726,322.039,516.216,1.0,16.0,,324,314
955,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4779.677,314.174,502.02,1.0,16.0,,315,308
961,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4811.683,312.608,495.622,1.0,16.0,,312,309
967,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4839.971,329.698,514.301,1.0,,,329,327
974,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4875.667,306.942,538.503,1.0,17.0,,295,307
981,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4911.908,294.738,531.522,1.0,17.0,,5,527
988,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4943.678,306.198,532.496,1.0,17.0,,286,307
995,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,4979.738,314.396,540.367,1.0,17.0,,313,315
1001,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,5011.816,322.444,543.776,1.0,,,320,323
