index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
9680,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48793.139,530.474,396.534,1.0,161.0,,546,491
9684,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48821.117,507.919,401.939,1.0,161.0,,524,469
9693,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48865.201,495.6,381.132,1.0,161.0,,511,457
9698,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48889.121,504.392,379.539,1.0,161.0,,520,465
9703,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48913.128,498.895,382.167,1.0,161.0,,515,459
9711,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48953.094,502.156,398.103,1.0,161.0,,517,462
9718,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48989.413,515.977,384.783,1.0,161.0,,530,476
9725,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49025.129,471.402,379.856,1.0,161.0,,485,430
9730,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49049.122,482.001,381.096,1.0,,,496,442
9741,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49105.132,538.929,382.64,1.0,162.0,,554,499
9744,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49121.098,533.866,387.029,1.0,162.0,,549,494
9752,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49161.141,544.819,390.889,1.0,162.0,,559,505
9757,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49189.11,516.224,391.022,1.0,162.0,,532,475
9764,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49225.125,522.774,389.834,1.0,162.0,,538,483
9772,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49265.154,511.71,391.582,1.0,162.0,,529,472
9777,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49289.102,507.517,383.637,1.0,162.0,,525,469
9783,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49325.106,490.108,378.879,1.0,162.0,,506,451
9790,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49361.125,527.815,374.69,1.0,163.0,,544,490
9797,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49397.111,525.259,377.215,1.0,163.0,,542,487
9802,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49421.126,523.965,379.676,1.0,163.0,,540,486
9811,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49465.134,516.477,384.35,1.0,,,532,477
9817,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49497.104,485.007,402.105,1.0,,,500,446
9824,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49529.103,555.14,414.405,1.0,,,571,516
9828,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49549.117,580.042,409.573,1.0,,,595,542
9835,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49585.107,569.708,417.315,1.0,,,585,531
9841,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49617.13,609.834,413.12,1.0,164.0,,624,573
9850,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49661.139,627.413,400.21,1.0,164.0,,909,836
9857,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49697.142,629.695,394.517,1.0,164.0,,645,593
9862,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49721.14,663.597,397.854,1.0,164.0,,679,629
9869,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49757.128,624.214,399.071,1.0,165.0,,640,588
9877,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49797.243,608.827,414.389,1.0,165.0,,624,573
9882,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49825.463,626.763,417.979,1.0,165.0,,642,591
9888,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49857.354,622.233,414.995,1.0,165.0,,637,587
9896,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49897.368,590.259,409.521,1.0,165.0,,606,554
9903,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49929.368,605.394,415.002,1.0,165.0,,621,568
9909,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49961.371,611.05,411.45,1.0,165.0,,626,573
9916,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,49997.566,603.08,414.534,1.0,165.0,,618,564
9923,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50029.381,614.238,410.586,1.0,165.0,,630,575
9930,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50065.358,608.795,402.97,1.0,165.0,,625,569
9938,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50105.357,615.158,405.749,1.0,,,631,575
9940,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50117.979,582.639,399.828,1.0,,,599,542
9947,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50153.382,576.706,424.58,1.0,,,593,536
9954,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50185.375,592.842,425.13,1.0,,,609,553
9961,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50221.385,630.85,392.47,1.0,,,837,875
